Prot_1,Prot_2
TMCC2,HSPD1
TMCC2,CCDC33
TMCC2,ZNF417
TMCC2,DIP2A
TMCC2,DPY30
TMCC2,FBF1
TMCC2,EIF4E2
TMCC2,APP
TMCC2,KAT5
TMCC2,ZNF250
TMCC2,CFAP206
ALOX12B,B3GALNT1
EPB41L3,EPB41L2
EPB41L3,SCML1
EPB41L2,LIN7A
EPB41L2,CTTN
EPB41L2,BIRC3
EPB41L2,DCAF13
EPB41L2,CPSF7
EPB41L2,MFAP1
EPB41L2,LRPAP1
EPB41L2,CCNT1
EPB41L2,NSMAF
EPB41L2,CBX4
EPB41L2,RBM15B
EPB41L2,YWHAZ
EPB41L2,ATXN1L
EPB41L2,WWC1
EPB41L2,YWHAQ
EPB41L2,DDX56
EPB41L2,HOXA5
EPB41L2,PRPF40A
EPB41L2,APEX1
EPB41L2,SNIP1
EPB41L2,CSNK1D
EPB41L2,TOX4
EPB41L2,YWHAB
EPB41L2,YWHAG
EPB41L2,KIF14
EPB41L2,ATXN2L
EPB41L2,WNK1
EPB41L2,PPP1R10
EPB41L2,PAX6
EPB41L2,PRKAR1A
EPB41L2,MMTAG2
EPB41L2,NUFIP2
EPB41L2,FAM76B
EPB41L2,MEPCE
EPB41L2,TAF2
EPB41L2,ESR1
EPB41L2,APP
EPB41L2,DDX42
EPB41L2,POP1
EPB41L2,RBM25
EPB41L2,UBC
EPB41L2,KLC4
EPB41L2,DDAH2
EPB41L2,WDR76
MACROH2A1,APLF
MACROH2A2,APLF
SLC43A3,MBOAT1
DCAF13,CTTN
VHL,PHOSPHO2
RIPK3,VIM
C1ORF216,VIM
INSC,GPSM2
KAT2B,CDK8
INSR,CAV1
SPTBN1,MEF2C
KLF11,VIM
KLF11,GINS3
PCNA,RFC3
PCNA,ANK3
SLC44A1,CD9
MPLKIP,KCTD17
RPA1,VIM
RPA2,TUBB2A
NDUFS1,EHBP1
NDUFS3,CPT2
COQ9,CPT2
COQ9,ABCB10
ILF3,ZNF830
NEK7,RAB31
ZRANB1,ARRDC2
TPX2,GSTM3
RABAC1,TUBB2A
RABAC1,VIM
MICAL1,VIM
PHC1,SCML1
PHC3,SCML1
PHC2,SCML1
HDAC4,KSR1
HDAC4,MEF2C
RNF8,ZNF496
RNF8,UBE2E2
RNF4,VIM
RNF4,UBE2E2
RNF4,BTBD3
RNF5,UBE2E2
RNF2,UBE2E2
CLTC,CAV1
CLTC,TNK2
CLTC,BTBD3
CLTC,BMP2K
CLTB,BMP2K
DPEP2,LRFN3
MACO1,TMEM237
FAM118A,TNFSF13B
FAM118B,VIM
SRPRA,TMEM237
XPNPEP3,VIM
ACTR3,CTTN
ACTR2,CTTN
NMES1,CPT2
RECQL4,GINS3
RECQL4,KCTD17
TUSC5,TMEM237
PDE3B,ZNRF4
PDE3B,IL9R
PDE3B,EVA1C
PDE3B,SRPRB
PDE3B,CHRNA9
PDE3B,LNX1
PDE3B,TEX264
PDE3B,LRRTM2
PDE3B,TMEM59
PDE3B,VIRMA
PDE3B,SLC8A3
PDE3B,SLC39A4
PDE3B,HPGDS
PDE3B,GNAI1
KHDRBS2,EHBP1
KHDRBS2,RFC3
GLB1,VIM
ADAM10,CD9
ADAM17,CD9
NEPRO,SCML1
CDC42BPA,KCTD17
NDEL1,CCSER1
ZDHHC17,UBAC1
DUSP28,CTTN
CD180,LY86
DDX42,CTTN
DDX47,RPGRIP1L
