Prot_1,Prot_2
NBL1,S100B
NBL1,NCALD
NBL1,UBQLN2
NBL1,UBQLN1
NBL1,MRPL12
NBL1,HPCAL1
NBL1,CAMK2A
NBL1,NCS1
NBL1,PLA2G2F
NBL1,SLPI
NBL1,LRIG1
NBL1,SYK
NBL1,SDC2
NBL1,ZMIZ2
NBL1,DMWD
NBL1,APP
CNTROB,PRMT3
CNTROB,FERMT2
C22ORF31,LACRT
EME1,KIF18A
KRT75,SUFU
ATM,MTA3
ATM,CD274
ATM,TTI1
ATR,TTI1
ATR,CD274
HYPK,APOA1
U2SURP,WDFY2
ENO3,SPTB
LLGL2,IFI30
LLGL2,PRKCZ
LLGL1,PRKCZ
ACOX2,DYNLT1
GPT2,NME4
GPT2,IMMP2L
GPT2,GPHA2
GPT2,BABAM1
GPT2,LYRM4
GPT2,USP20
GPT2,CUL3
VENTX,PLA2G2F
OBSCN,LCOR
PFDN1,HOXD8
PTK2,STAT1
ITGB3BP,CENPO
ITGB3BP,CENPN
ITGB3BP,CENPK
ITGB3BP,USP33
ITGB3BP,CENPT
ITGB3BP,ALDH2
ITGB3BP,C2CD5
DAGLB,ICAM2
SCARA3,EXOC2
ANOS1,NCALD
DENND10P1,ALDH2
DDX24,TSPYL6
PROX1,NR3C2
PROX1,IRF4
PROX1,PPARD
PARD6G,PRKCZ
PARD6A,PRKCZ
ERBB2,UBA52
ERBB2,STAT1
CGRRF1,USP33
FKBP1A,NEUROD1
FKBP1A,ANXA4
STAT6,POLK
STAT6,NCOA1
STAT6,IRF4
DAXX,KLHL8
DAXX,NR3C1
IMMP1L,DYNLT1
IMMP1L,PRMT3
IMMP1L,MYL12B
SPICE1,SAMHD1
FRMD6,TCF12
GNAQ,CCR1
GNAS,RIC8B
DPF3,NEUROD1
RPL18A,MDK
PPCDC,CENPT
KIDINS220,LDLRAD4
DCAF13,NDE1
UBE2O,PRKCZ
UBE2O,UBA52
VHL,PRKCZ
VHL,USP33
RIPK3,DAPK1
TREML2,ZBTB1
TREML2,SNX2
TREML2,PDZD8
TREML2,DHRS7
TREML2,RAB6A
TREML2,ESYT1
TREML2,CYP51A1
TREML2,ALG11
TREML2,UPK3BL1
TREML2,EPHX1
TREML2,SQLE
TREML2,SNX6
KAT2B,NCOA1
RUNX1T1,TCF12
SPTBN1,STAT1
KLF11,COG3
KLF11,ANXA4
KLF11,STAT4
KLF11,NEUROD1
KLF16,POLK
PCNA,POLK
PCNA,POLI
PCNA,UBA52
PCNA,ALDH2
PCNA,REV1
UBE2R2,UBA52
SAMHD1,PPP2R1A
SAMHD1,HSF5
SAMHD1,BIRC3
SAMHD1,AKAP12
SAMHD1,GABARAPL1
SAMHD1,KANSL3
SAMHD1,CCNA2
SAMHD1,LRRK2
SAMHD1,RACGAP1
SAMHD1,STYXL1
SAMHD1,DCAF1
SAMHD1,VIRMA
SAMHD1,RSBN1L
SAMHD1,LCOR
SAMHD1,CUL5
SAMHD1,MAP1LC3B
SAMHD1,CDK2
SAMHD1,CUL2
SAMHD1,CUL3
SAMHD1,DYSF
SAMHD1,COPS6
SAMHD1,MAP1LC3A
SAMHD1,SMARCD2
SAMHD1,GPATCH4
SAMHD1,DUSP10
SAMHD1,STX3
SAMHD1,CDK1
SAMHD1,UBC
SAMHD1,PPP2R5E
SAMHD1,CFTR
SAMHD1,SOGA1
