Genes,Naive,Early_Extra_GC_Tfh,Late_Extra_GC_Tfh,GC Tfh
ASPA,1e-06,0.5877989447469103,0.1442805561638755,0.214381615205861
RAD51C,7.249072639578911,10.656453267271253,9.60535160477401,9.424156081784957
SEPT4,1e-06,1e-06,1e-06,1e-06
MTMR4,10.054996492663188,2.126541458569382,170.41084148774553,13.295198141967687
TRIM37,4.735720827846958,2.1440430429368553,1e-06,4.188961949566868
P2RX1,10.1242081557953,1e-06,1e-06,1.5805446022688299
DHX40,17.414966373764216,9.670503151846336,6.720107773561529,4.161077521227825
KRT37,1e-06,1e-06,1e-06,1e-06
TUBD1,3.9691379231610275,11.14857419424787,5.4692096976571625,3.1807633780559312
KPNB1,21.959511211498175,18.34012151272456,18.571146977808038,14.128974777145082
GOSR2,13.199026862394756,10.32878650881896,41.997749986721864,11.7591409934194
PNPO,9.509241129839198,11.560516614681527,14.616628592141355,10.762627620115305
TVP23BP2,1e-06,1e-06,1e-06,1e-06
RPS6KB1,10.583697343771169,15.397611692769612,9.179327890985991,15.943678316784604
TRIM16L,0.90539663345038,3.02733299606786,1e-06,0.833069773830345
ZNF29P,1e-06,1e-06,1e-06,1e-06
CDK5RAP3,9.038837788393076,11.273766927423003,8.812779057446695,16.459198459125606
CBX1,5.4130223390739225,5.689480785485803,3.21389960772336,6.347776303383091
RECQL5,5.036404949182002,4.606492872196814,0.6074248597242725,5.58098638977746
PIGL,4.62504621016364,1.4162896898187272,5.319265739273595,0.9806755933943175
GALK1,17.6673004793527,19.146182009023278,8.548182064296606,13.310256118209784
INTS2,0.6712271460088892,2.3291889748514953,0.9283283564029473,6.745366318545743
CAMTA2,4.583372850566033,0.7200864682934225,18.4856842673998,3.0823496673831525
MED13,29.689337066494538,17.978881568562752,18.5777059439252,31.065349360624946
HOXB6,1e-06,1e-06,1e-06,1e-06
ENO3,1e-06,1.838203192026015,3.9461075592029227,0.5448202185523975
AC003958.6,1e-06,1e-06,1e-06,1e-06
PFN1,454.91801826815447,487.99749512499193,1078.3244649616115,1014.4751602367654
RNF167,15.744794052007176,19.595297664502528,40.07107660134874,25.821813417588075
SLC25A11,31.294180497562277,29.027246182815947,16.283002847707827,21.24642398883903
RASD1,8.914406011313313,0.5778990451675793,1e-06,0.45854915571060245
