Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
ZNF263,0.2662337662337662,0.7337662337662337,0.38311688311688313,0.33116883116883117
ZNF394,0.19155844155844157,0.18831168831168832,0.2305194805194805,0.3344155844155844
ZNF384,0.9902597402597403,0.7857142857142857,0.5357142857142857,0.33766233766233766
ATF6,0.30844155844155846,0.3116883116883117,0.36688311688311687,0.3409090909090909
KLF7,0.19805194805194806,0.17207792207792208,0.2824675324675325,0.34415584415584416
IRF8,0.6103896103896104,0.461038961038961,0.474025974025974,0.3474025974025974
ZNF566,0.45454545454545453,0.8116883116883117,0.4707792207792208,0.35064935064935066
ZNF484,0.2564935064935065,0.275974025974026,0.19480519480519481,0.3538961038961039
THAP11,0.18831168831168832,0.37987012987012986,0.3051948051948052,0.35714285714285715
IRF7,0.6623376623376623,0.8376623376623377,0.5487012987012987,0.36038961038961037
ZNF140,0.5032467532467533,0.4025974025974026,0.5974025974025974,0.36363636363636365
BACH1,0.8409090909090909,0.34415584415584416,0.512987012987013,0.36688311688311687
IRF4,0.5974025974025974,0.5551948051948052,0.38961038961038963,0.37012987012987014
MTF2,0.6266233766233766,0.551948051948052,0.6688311688311688,0.37337662337662336
LEF1,0.16558441558441558,0.22077922077922077,0.3116883116883117,0.37662337662337664
IKZF3,0.4642857142857143,0.31493506493506496,0.4025974025974026,0.37987012987012986
JUND,0.3116883116883117,0.2922077922077922,0.4383116883116883,0.38311688311688313
IRF9,0.8051948051948052,0.922077922077922,0.6655844155844156,0.38636363636363635
RFX5,0.5,0.21103896103896103,0.1590909090909091,0.38961038961038963
ZNF200,0.32792207792207795,0.42207792207792205,0.33766233766233766,0.39285714285714285
KLF13,0.3181818181818182,0.35064935064935066,0.11038961038961038,0.3961038961038961
ATF1,0.3051948051948052,0.30194805194805197,0.4902597402597403,0.39935064935064934
PRDM1,0.4318181818181818,0.5097402597402597,0.2012987012987013,0.4025974025974026
HSF1,0.4772727272727273,0.4448051948051948,0.6136363636363636,0.40584415584415584
ZNF468,0.8798701298701299,0.7175324675324676,0.3409090909090909,0.4090909090909091
NFATC2,0.6136363636363636,0.4642857142857143,0.3181818181818182,0.41233766233766234
IRF2,0.7045454545454546,0.3344155844155844,0.41233766233766234,0.4155844155844156
ZNF586,0.6818181818181818,0.762987012987013,0.5681818181818182,0.41883116883116883
GTF3A,0.41233766233766234,0.4707792207792208,0.698051948051948,0.42207792207792205
GTF2I,0.2922077922077922,0.5487012987012987,0.12012987012987013,0.4253246753246753
MAX,0.22727272727272727,0.36038961038961037,0.35714285714285715,0.42857142857142855
ZNF282,0.42857142857142855,0.75,0.21103896103896103,0.4318181818181818
ZNF35,0.8928571428571429,0.8084415584415584,0.8993506493506493,0.43506493506493504
ZNF329,0.5844155844155844,0.36688311688311687,0.8506493506493507,0.4383116883116883
SMAD3,0.7467532467532467,0.737012987012987,0.4935064935064935,0.44155844155844154
TCF3,0.44155844155844154,0.42857142857142855,0.6461038961038961,0.4448051948051948
ZNF71,0.39285714285714285,0.2694805194805195,0.3246753246753247,0.44805194805194803
FOXO3,0.44805194805194803,0.5064935064935064,0.564935064935065,0.4512987012987013
MEF2A,0.6915584415584416,0.7305194805194806,0.8116883116883117,0.45454545454545453
NFE2L2,0.564935064935065,0.2305194805194805,0.6525974025974026,0.4577922077922078
ZNF283,0.25,0.2987012987012987,0.7305194805194806,0.461038961038961
MLX,0.34415584415584416,0.5422077922077922,0.4090909090909091,0.4642857142857143
ZNF37A,0.4805194805194805,0.4935064935064935,0.5876623376623377,0.4675324675324675
RUNX1,0.4675324675324675,0.32792207792207795,0.24675324675324675,0.4707792207792208
ZNF45,0.6428571428571429,0.37337662337662336,0.7662337662337663,0.474025974025974
MYC,0.4025974025974026,0.775974025974026,0.5,0.4772727272727273
RFX3,0.3961038961038961,0.29545454545454547,0.6558441558441559,0.4805194805194805
NR4A1,0.39935064935064934,0.5909090909090909,0.4512987012987013,0.4837662337662338
ZNF322,0.9642857142857143,0.1396103896103896,0.37337662337662336,0.487012987012987
FOXO1,0.3409090909090909,0.38961038961038963,0.40584415584415584,0.4902597402597403
ZNF740,0.8831168831168831,0.512987012987013,0.41883116883116883,0.4935064935064935
EGR3,0.2597402597402597,0.22727272727272727,0.5746753246753247,0.4967532467532468
USF1,0.35714285714285715,0.525974025974026,0.5097402597402597,0.5
GATA3,0.7792207792207793,0.5162337662337663,0.4577922077922078,0.5032467532467533
ZNF425,0.32142857142857145,0.8993506493506493,0.8896103896103896,0.5064935064935064
ARID5B,0.7857142857142857,0.6331168831168831,0.3538961038961039,0.5097402597402597
ETV2,0.922077922077922,0.6753246753246753,0.9058441558441559,0.512987012987013
NFAT5,0.538961038961039,0.6915584415584416,0.538961038961039,0.5162337662337663
ZNF816,0.974025974025974,0.7824675324675324,0.9383116883116883,0.5194805194805194
ZBTB7A,0.4577922077922078,0.43506493506493504,0.8571428571428571,0.5227272727272727
ZNF274,0.5909090909090909,0.7402597402597403,0.8701298701298701,0.525974025974026
ZNF101,0.5097402597402597,0.5292207792207793,0.6006493506493507,0.5292207792207793
