	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
ETS1	8.396095983466993e-3	5.816431637137115e-3	8.539626043199453e-3	7.251884400866844e-3
ETS2	6.805986419790957e-4	1.86959058749307e-4	8.252261094205415e-4	1.3804199155880562e-3
ETV1	2.888186946930726e-4	1.0535977676659892e-3	2.730736586705497e-4	2.4024212744475423e-4
ETV2	1.139796018489179e-3	2.1106428489342464e-4	6.09412748523584e-4	2.2749669801124496e-4
ETV3	5.103824152990878e-5	8.256266865307838e-5	1.0436978296426762e-4	9.692438247387195e-5
ETV3L	8.405147658182267e-5	5.790038750096158e-5	7.012268387621747e-5	6.04235779075782e-5
ETV4	2.716390322605157e-4	2.342395150350834e-4	2.6656697190705655e-4	2.476255991679606e-4
ETV5	3.7547193395937647e-4	3.265528824540734e-4	3.7552478403021794e-4	3.506083730074894e-4
ETV6	1.785649576398083e-3	2.727759773259622e-3	1.833550457441178e-3	7.740081894004427e-4
ETV7	1.2653943959910528e-4	4.898918948373652e-4	1.1637098780894239e-4	1.0836657936494156e-4
EVX1	6.50833142167647e-5	6.221307718016061e-5	6.647332037559321e-5	6.332306618816818e-5
EVX2	6.753575224917994e-5	6.37391673846041e-5	8.190640809767208e-5	6.782715965443582e-5
FBXL19	2.053507169340699e-5	1.270373349251103e-5	1.634297093078806e-5	1.3185414606089427e-5
FERD3L	4.177200358072293e-5	3.933099289181201e-5	6.110590753281339e-5	4.606535785071621e-5
FEV	1.8706840960887208e-4	1.4459889427694426e-4	1.6681436293733404e-4	1.4734314448813478e-4
FEZF1	1.8318130233468708e-4	1.5237501263891517e-4	1.5244570500852188e-4	1.6106026503973477e-4
FEZF2	1.2969898321061994e-4	1.1121048309873678e-4	1.068446551674905e-4	1.1734505992116552e-4
FIGLA	9.312155499428182e-5	8.684723071990223e-5	9.703446944398457e-5	9.988859285428394e-5
FLI1	2.206287215366575e-3	3.458125386382513e-3	4.847316811140689e-3	4.147076311214478e-3
FOS	2.6818403104097808e-2	3.108735451873252e-2	3.295006578817608e-2	2.1032093832021252e-2
FOSB	2.325461001659052e-3	4.21112727650036e-3	4.73407728862251e-3	2.3388273530923387e-3
FOSL1	2.4390362858503023e-4	2.067070001232696e-4	2.3244472636724353e-4	1.2675049946693595e-3
FOSL2	1.3214222739441712e-4	7.002866887850811e-4	8.696297453301755e-4	1.6577827497969762e-3
FOXA1	2.32970436190245e-4	1.710056463558986e-4	1.854342529625743e-4	2.139746476946024e-4
FOXA2	1.6609856912278467e-4	1.3694775818776182e-4	1.428717575477566e-4	1.819947386895668e-4
FOXA3	1.6649028308165988e-4	1.1994776606021877e-4	1.1896744687438248e-4	1.691061687512172e-4
FOXB1	2.786802131854427e-4	9.49744437978083e-4	1.0531254903759865e-4	1.0961231106726023e-4
FOXB2	9.404893921789602e-5	8.219305091458967e-5	8.01842475465942e-5	8.13177294240127e-5
FOXC1	5.651630446184746e-4	4.530273422732699e-4	5.195700905689217e-4	5.461651824075035e-4
FOXC2	2.9935184815198116e-4	2.1213689271319945e-4	2.432331979364159e-4	2.5673470362668437e-4
FOXD1	1.2963154468442203e-4	8.910220542611292e-5	8.604826244551594e-5	1.395248304775741e-4
