	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
FOXR2	9.83578515224126e-4	5.751533742331283e-3	4.4682752457551045e-3	3.641628641628647e-3
FOXS1	3.1645569620253333e-3	1.0693592365371485e-2	1.0553640580450274e-2	1.0047385047385005e-2
GABPA	0.0	0.0	0.0	0.0
GATA1	1.1546356483065345e-3	3.4935241990456944e-3	5.234265287884621e-3	4.124254124254101e-3
GATA2	1.2401642148477388e-3	1.278118609406853e-4	2.5107451380910195e-3	3.115128115128152e-3
GATA3	0.0	0.0	0.0	0.0
GATA4	8.980499486828109e-4	4.2603953646858095e-5	1.957530107664196e-3	2.3692523692523393e-3
GATA5	1.3684570646596006e-3	3.1526925698704966e-3	1.4894250819184052e-3	3.992628992628977e-3
GATA6	7.6975709887106e-4	4.2603953646858095e-5	0.0	2.9396279396279867e-3
GBX1	0.9970492644543277	0.9999573960463531	0.9995744499765947	0.9999122499122499
GBX2	3.1645569620253333e-3	1.0949216087252855e-2	7.574790416613464e-3	1.1363636363636354e-2
GCM1	4.148135477249348e-3	1.9384798909338752e-2	1.1702625643644438e-2	1.2285012285012331e-2
GCM2	0.8015737256243585	0.9945040899795501	0.9031448146729648	0.974991224991225
GFI1	0.0	0.0	0.0	4.5630045630045135e-3
GFI1B	4.695518303113244e-2	5.4064417177914104e-2	0.16056002383080126	5.2650052650052626e-2
GLI1	2.651385562777997e-3	1.252556237218816e-2	0.0	9.345384345384344e-3
GLI2	2.0526855969893454e-3	1.05657805044308e-2	8.128005447040287e-3	7.722007722007707e-3
GLI3	2.3947998631542733e-3	1.1630879345603251e-2	8.766330482148144e-3	8.116883116883078e-3
GLI4	1.6250427642833243e-3	0.9999573960463531	0.9611898378654411	8.073008073008037e-3
GLIS1	4.148135477249348e-3	1.2738582140422672e-2	8.383335461083496e-3	8.599508599508643e-3
GLIS2	0.232124529592884	0.22601397409679613	3.872505212987787e-2	7.186732186732192e-2
GLIS3	3.8915497776257357e-3	1.0991820040899825e-2	8.128005447040287e-3	2.4131274131273805e-3
GMEB1	1.3684570646596006e-3	2.1557600545330624e-2	9.957870547682934e-3	6.230256230256193e-3
GMEB2	0.31016934656175166	1.0	5.5747053066087515e-3	6.581256581256634e-3
GRHL1	2.6813205610674018e-2	5.410702113156085e-3	0.6865824077620324	0.9586697086697087
GRHL2	4.173794047211765e-2	0.3284764826175869	0.35427039448487174	3.3520533520533524e-2
GSC	0.30277112555593566	0.4792944785276073	0.123579726796885	0.2806247806247806
GSC2	0.4810126582278481	0.20922801635991817	9.076981999234013e-2	0.15158827658827656
GSX1	4.062606910708144e-3	1.5167007498295804e-2	9.319545512574967e-3	1.5487890487890454e-2
GSX2	3.079028395484129e-3	1.4059304703476494e-2	7.787565428316046e-3	1.2109512109512055e-2
GTF2B	0.0	0.0	0.0	0.0
GTF2I	0.0	0.0	0.0	0.0
GTF2IRD1	0.0	0.0	2.5107451380910195e-3	1.2372762372762414e-2
GTF3A	0.0	0.0	0.0	0.0
GZF1	1.1546356483065345e-3	1.4357532379004723e-2	0.8361632409889783	0.9992102492102493
HAND1	6.500171057133075e-3	4.899454669393344e-3	4.4682752457551045e-3	1.5444015444015413e-2
HAND2	1.317139924734867e-2	2.6457055214723968e-2	2.4086131324737248e-2	1.9612144612144666e-2
HBP1	0.0	0.0	0.0	0.0
HDX	0.0	4.942058623040202e-3	3.063960168517843e-3	0.0
HES1	3.780362641122137e-2	0.10403885480572594	9.494021022171151e-2	7.779045279045282e-2
HES2	0.33215018816284636	1.3292433537832271e-2	9.957870547682934e-3	0.7516672516672517
HES4	1.0	1.0	1.0	0.9999122499122499
HES5	0.9505217242559014	0.9308537832310838	0.9618707179028895	0.7805370305370305
HES6	8.467328087581216e-3	1.0	1.0	1.0
HES7	0.909639069449196	0.8878237900477164	0.9589344227413933	0.7743067743067743
HESX1	1.1546356483065345e-3	5.495910020449912e-3	3.319290182560941e-3	4.299754299754266e-3
HEY1	0.0	5.410702113156085e-3	0.9970637048385038	0.9881537381537382
HEY2	0.9976907287033869	0.9987644853442399	0.9997021149836163	0.9666988416988417
HEYL	0.0	0.0	5.872590322992477e-3	0.9997806247806248
HHEX	0.20945945945945943	0.9320466939331971	8.128005447040287e-3	0.4237890487890488
HIC1	1.0177899418405745e-2	4.0132924335378295e-2	1.2298395676411777e-2	1.597051597051602e-2
HIC2	2.437564146424931e-3	1.307941376959787e-2	0.0	0.2786504036504036
HIF1A	0.0	0.0	0.0	0.0
HIF3A	0.0	1.1077027948193097e-3	3.787395208306732e-3	6.989294489294484e-2
HINFP	9.83578515224126e-4	8.05214723926384e-3	4.4682752457551045e-3	4.124254124254101e-3
HIVEP1	0.0	0.0	6.127920337035575e-3	0.0
HIVEP2	0.0	0.0	0.0	0.0
HIVEP3	0.0	0.0	0.0	0.0
HKR1	0.1196117003079028	0.25119291070211314	6.281118345461512e-2	0.2590821340821341
HLF	9.408142319534685e-3	2.637184730743014e-2	1.868164602749056e-2	1.4259389259389299e-2
HLX	4.533014026684934e-3	1.8660531697341498e-2	1.3702710753649039e-2	9.345384345384344e-3
HMBOX1	1.2401642148477388e-3	3.4083162917518672e-3	0.0	2.3692523692523393e-3
HMG20A	0.0	0.0	0.0	0.0
HMG20B	0.0	0.0	0.0	0.0
HMGA1	0.0	0.0	0.0	0.0
HMGA2	3.848785494355078e-3	0.955095432856169	6.766245372143542e-3	1.662864162864164e-2
HMX1	2.9079712624016096e-3	9.798909338786688e-3	8.681220477467111e-3	8.81888381888385e-3
HMX2	2.2665070133424114e-3	8.819018404907952e-3	9.87276054300179e-3	8.51175851175856e-3
HMX3	1.0648306534382534e-2	2.83316291751875e-2	3.808672709477001e-2	0.13338013338013333
HNF1A	1.753335614095075e-3	6.646216768916191e-3	5.3193752925656534e-3	0.0
HNF1B	2.3947998631542733e-3	1.0139740967961774e-2	7.064130388527157e-3	5.967005967005945e-3
HNF4A	1.4112213479302582e-3	5.623721881390598e-3	0.0	4.299754299754266e-3
HNF4G	5.516592541908949e-3	1.746762099522836e-2	3.7022852036256992e-3	7.5465075465075415e-3
HOMEZ	5.773178241532673e-3	1.3846284935241981e-2	1.1830290650665987e-2	5.8792558792558625e-3
HOXA1	3.3356140951077418e-3	3.365712338105009e-3	1.2213285671730745e-2	1.4829764829764835e-2
HOXA10	3.848785494355078e-3	1.5593047034764829e-2	7.6599004212944966e-3	1.0354510354510404e-2
HOXA11	5.559356825179607e-3	1.77658486707567e-2	1.0383420571088098e-2	1.803264303264307e-2
HOXA13	0.0	0.0	0.0	0.0
HOXA2	3.549435511460808e-3	1.5507839127471001e-2	7.787565428316046e-3	0.0
HOXA3	0.9981611358193637	0.9994887525562373	0.9748074386144091	0.9944278694278694
HOXA4	1.6678070475538709e-3	1.0437968643490114e-2	3.532065194263634e-3	7.020007020007046e-3
HOXA5	2.1382141635306606e-3	1.086400817995914e-2	5.489595301927719e-3	3.510003510003301e-4
HOXA6	0.15899760520013684	0.6796182685753238	0.8169709349334014	0.738022113022113
HOXA7	7.911392405063333e-3	4.94631901840491e-2	1.2213285671730745e-2	0.0
HOXA9	0.0	0.0	0.0	0.0
HOXB1	6.371878207321213e-3	2.3474778459441015e-2	2.4724456359845104e-2	1.597051597051602e-2
HOXB13	1.2401642148477388e-3	7.455691888207272e-3	2.3830801310693595e-3	4.43137943137939e-3
HOXB2	6.842285323297448e-4	1.5763462849351928e-3	7.489680411932431e-3	1.2285012285012331e-2
HOXB3	0.20762059527882315	0.7355146557600545	0.699434018468871	0.9051860301860302
HOXB4	3.3356140951077418e-3	2.2281867757327878e-2	9.830205540661274e-3	0.0
HOXB5	1.7105713308245285e-3	8.265167007498242e-3	5.234265287884621e-3	6.449631449631399e-3
HOXB6	1.0348956551488153e-2	0.27466768916155415	2.978850163836755e-2	9.792909792909787e-2
HOXB7	0.0	0.0	0.0	0.0
HOXB8	5.986999657885739e-3	3.502044989775055e-2	9.617430528958693e-3	1.5838890838890785e-2
HOXB9	5.559356825179607e-3	1.9384798909338752e-2	9.53232052427766e-3	1.4259389259389299e-2
HOXC10	1.1973999315771922e-3	4.942058623040202e-3	2.7660751521341176e-3	4.124254124254101e-3
HOXC11	2.1809784468012072e-3	9.41547375596452e-3	5.872590322992477e-3	7.327132327132335e-3
HOXC12	1.6678070475538709e-3	7.072256305385105e-3	4.851270266819863e-3	5.572130572130574e-3
HOXC13	1.7105713308245285e-3	1.0054533060668058e-2	6.127920337035575e-3	5.44050544050545e-3
HOXC4	1.7105713308245285e-3	7.114860259032074e-3	4.851270266819863e-3	6.0547560547560275e-3
HOXC5	3.20732124529588e-3	1.6785957736877966e-2	1.0638750585131307e-2	1.1056511056511065e-2
HOXC6	2.0227505986999628e-2	9.63275391956373e-2	3.332056683263118e-2	3.444190944190939e-2
HOXC8	3.1645569620253333e-3	1.6274710293115224e-2	7.787565428316046e-3	9.389259389259386e-3
HOXC9	2.1809784468012072e-3	9.71370143149286e-3	3.2767351802204248e-3	6.625131625131675e-3
HOXD1	0.9175076975709887	0.9940354464894342	0.9771054087407974	0.9996051246051246
HOXD10	0.0	0.0	0.0	4.3875043875041264e-5
