	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
BNC1	0.9742368332774237	0.9742368332774237	0.9742368332774237	0.9742368332774237	0.9577620967741935	0.9577620967741935	0.9577620967741935	0.9577620967741935	0.9628686070950895	0.9628686070950895	0.9628686070950895	0.9628686070950895	0.8033616848926691	0.8033616848926691	0.8033616848926691	0.8033616848926691
BNC2	0.9742368332774237	0.9742368332774237	0.9742368332774237	0.9742368332774237	0.9577620967741935	0.9577620967741935	0.9577620967741935	0.9577620967741935	0.9628686070950895	0.9628686070950895	0.9628686070950895	0.9628686070950895	0.8033616848926691	0.8033616848926691	0.8033616848926691	0.8033616848926691
BORCS8-MEF2B	0.9999329084199933	0.9999329084199933	0.9999329084199933	0.9999329084199933	0.44899193548387095	0.44899193548387095	0.44899193548387095	0.44899193548387095	0.0	0.0	0.0	0.0	1.3669501822600738e-3	1.3669501822600738e-3	1.3669501822600738e-3	1.3669501822600738e-3
BPTF	0.0	0.0	0.0	0.0	1.0080645161292257e-4	1.0080645161292257e-4	1.0080645161292257e-4	1.0080645161292257e-4	0.0	0.0	0.0	0.0	7.594167679222386e-4	7.594167679222386e-4	7.594167679222386e-4	7.594167679222386e-4
BSX	1.0	1.0	1.0	1.0	0.9509072580645161	0.9509072580645161	0.9509072580645161	0.9509072580645161	0.9965607286160117	0.9965607286160117	0.9965607286160117	0.9965607286160117	0.861077359254759	0.861077359254759	0.861077359254759	0.861077359254759
CARF	5.850385776585043e-2	5.850385776585043e-2	5.850385776585043e-2	5.850385776585043e-2	0.6105846774193548	0.6105846774193548	0.6105846774193548	0.6105846774193548	0.9954779950321636	0.9954779950321636	0.9954779950321636	0.9954779950321636	5.2906034831915805e-2	5.2906034831915805e-2	5.2906034831915805e-2	5.2906034831915805e-2
CCDC169-SOHLH2	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.9875	0.9875	0.9875	0.9875	0.9989172664161519	0.9989172664161519	0.9989172664161519	0.9989172664161519	0.9979242608343459	0.9979242608343459	0.9979242608343459	0.9979242608343459
CDC5L	0.2033545790003355	0.2033545790003355	0.2033545790003355	0.2033545790003355	2.8528225806451646e-2	2.8528225806451646e-2	2.8528225806451646e-2	2.8528225806451646e-2	0.26227628813451376	0.26227628813451376	0.26227628813451376	0.26227628813451376	0.15299716484406645	0.15299716484406645	0.15299716484406645	0.15299716484406645
CDX1	1.6437437101643693e-2	1.6437437101643693e-2	1.6437437101643693e-2	1.6437437101643693e-2	0.24647177419354838	0.24647177419354838	0.24647177419354838	0.24647177419354838	6.037831985223874e-2	6.037831985223874e-2	6.037831985223874e-2	6.037831985223874e-2	2.075739165654067e-3	2.075739165654067e-3	2.075739165654067e-3	2.075739165654067e-3
CDX2	0.30627306273062727	0.30627306273062727	0.30627306273062727	0.30627306273062727	0.7795362903225806	0.7795362903225806	0.7795362903225806	0.7795362903225806	0.5932743137379785	0.5932743137379785	0.5932743137379785	0.5932743137379785	9.669906844876452e-3	9.669906844876452e-3	9.669906844876452e-3	9.669906844876452e-3
CDX4	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.9765120967741936	0.9765120967741936	0.9765120967741936	0.9765120967741936	0.9996178587351124	0.9996178587351124	0.9996178587351124	0.9996178587351124	0.8454840016200891	0.8454840016200891	0.8454840016200891	0.8454840016200891
CEBPA	0.5537739013753774	0.5537739013753774	0.5537739013753774	0.5537739013753774	3.629032258064546e-3	3.629032258064546e-3	3.629032258064546e-3	3.629032258064546e-3	0.10789121711992866	0.10789121711992866	0.10789121711992866	0.10789121711992866	0.0	0.0	0.0	0.0
CEBPB	6.0650788326065075e-2	6.0650788326065075e-2	6.0650788326065075e-2	6.0650788326065075e-2	0.20836693548387097	0.20836693548387097	0.20836693548387097	0.20836693548387097	0.8915355709827399	0.8915355709827399	0.8915355709827399	0.8915355709827399	3.260429323612801e-2	3.260429323612801e-2	3.260429323612801e-2	3.260429323612801e-2
CEBPD	0.8095940959409594	0.8095940959409594	0.8095940959409594	0.8095940959409594	0.8050403225806452	0.8050403225806452	0.8050403225806452	0.8050403225806452	0.9475192662887714	0.9475192662887714	0.9475192662887714	0.9475192662887714	3.1085459700283535e-2	3.1085459700283535e-2	3.1085459700283535e-2	3.1085459700283535e-2
CEBPE	0.0	0.0	0.0	0.0	0.9464717741935484	0.9464717741935484	0.9464717741935484	0.9464717741935484	0.9866887459397491	0.9866887459397491	0.9866887459397491	0.9866887459397491	0.6105204536249493	0.6105204536249493	0.6105204536249493	0.6105204536249493
CEBPG	0.0	0.0	0.0	0.0	6.048387096774244e-4	6.048387096774244e-4	6.048387096774244e-4	6.048387096774244e-4	9.362460989745913e-3	9.362460989745913e-3	9.362460989745913e-3	9.362460989745913e-3	0.0	0.0	0.0	0.0
