Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
ZNF467,0.0036021248463774112,0.0008709773567570375,0.000754744786527112,0.0008962041887042296
ZNF468,0.00030618801587570504,0.0005201028044675786,0.00170020151588029,0.0014647241619986631
ZNF483,0.00015909424324821612,0.0005195942873283769,0.0005395655285192447,0.0002162589145042576
ZNF484,0.0021837459906579046,0.001583370807498838,0.0029000664084091977,0.0017235901632106343
ZNF486,0.00019872063981840024,0.000687264272850841,0.0011110080689446928,0.0006867039150690509
ZNF490,0.00023280465216509304,0.0006293552646880599,0.0010889181023697617,0.0005062915266073298
ZNF506,0.0004679597067574952,0.0004669183108253142,0.00036879940915932063,0.00047293436054209054
ZNF519,0.002845206308322166,0.0026820922764050808,0.0007670948130265668,0.002976781692347222
ZNF524,0.0004107160867478231,0.0003335357722771297,0.0004400597595049773,0.0007871281107470944
ZNF527,0.0004888096265101376,0.0005458019714556783,0.0010658131417959132,0.0006393992484847481
ZNF543,0.002838622456626487,0.002550659636465648,0.002521606480530868,0.0022265257298477764
ZNF548,0.0034933586302844785,0.0005768286769805284,0.009138108084898492,0.004318328516328057
ZNF563,0.00035511093995368943,0.0006374116635657775,0.0004689511398864965,0.0006189583708097336
ZNF566,0.0010609457229243929,0.0004257416850749591,0.0010502446034646971,0.001742079488556202
ZNF571,0.001896758599735897,0.0037507119818333857,0.0029414980610116947,0.0030445145411976187
ZNF580,0.00018495909660365585,0.000528307048480724,0.0004818980413178769,0.0009718788654227613
ZNF586,0.0005610510262874832,0.0004646261489293169,0.0007455831482170382,0.0014359751776730429
ZNF587,0.0002721088636125302,0.0002804135912681746,0.0006159090888314006,0.00025150848318250015
ZNF595,0.0004701534263872344,0.00031525216930410554,0.00017104015551425416,0.00011035682667155788
ZNF596,0.0002081270519831396,0.0005641029807135374,0.0017866024587396188,0.00022281977609941463
ZNF597,0.000910032291606332,0.001039471788803859,0.0002487587104269814,0.000676940112530811
ZNF611,0.0035044428845571007,0.0016144319398744705,0.0016739882233768096,0.003579410214627767
ZNF655,0.0002977921033015349,0.0002772061161147746,0.00025580045797451826,0.00047504775982012406
ZNF675,0.00027566222126414907,0.0002680080985747021,0.0003670711047618684,0.0003007622087818707
ZNF677,0.0002044326317229232,0.00026290951734923043,0.0003525464823968772,0.0002848765270284232
ZNF682,0.0009068476080076436,0.0007235841404270718,0.0006579837073137592,0.0008968579801467338
ZNF692,0.0008655915753235047,0.0006340145760684779,0.0007322539756086042,0.000771071762467604
ZNF708,0.0001826339561123497,0.0006804486201048713,0.0003836276554293542,0.0006851719833537771
ZNF71,0.0014067139943046156,0.0015993495209541176,0.0017517085908096777,0.0013248039130024495
ZNF713,0.0001904074512308558,0.0002615592000055517,0.00142453540559483,0.0003296890977389801
ZNF714,0.0002978343056434347,0.0004398701354899119,0.0003095934619255268,0.0003445790447940643
ZNF740,0.00029825383570891023,0.0008358633874281729,0.001227928844919162,0.0011768210887606171
ZNF76,0.005544026688553317,0.0027121680981315177,0.0031057133556982182,0.004233338284070846
ZNF765,0.002527659378658269,0.0016690881827191222,0.0002674186792857855,0.0007540885502315169
ZNF766,0.0006175387334075219,0.0009373813322130172,0.0003838512241173934,0.0009791475995242409
ZNF770,0.004594052459455438,0.006020257529300794,0.0038305957056709184,0.00520081614255382
ZNF774,0.0007547640291109735,0.0004912045893510843,0.0002064705698507878,0.0008020380924255786
ZNF776,0.0015307059855737414,0.00285434853432276,0.0005448786649536592,0.0010002944446666309
ZNF780A,0.0002705009357952844,0.00035483671256204266,0.0003718004400015765,0.0003393360049202052
ZNF783,0.0007647592134153421,0.0009277373176189714,0.003115713230106488,0.0002427114435025913
ZNF816,0.0001832433208043228,0.00044327214473119066,0.00024152375255782088,0.0010968098249313008
ZNF846,0.0038119823667444007,0.0006426139292784365,0.0017344515129785315,0.0021793035818375136
ZNF891,0.0008891668800611564,0.0003793461393516064,0.00540264587643541,0.0007193640283474371
ZSCAN10,0.00031295693227905536,0.0006399665483312693,0.0002565276401029076,0.00027833994873965753
ZSCAN22,0.0032805199503384897,0.000963582467698612,0.0024972381632728724,0.0006165074879285211
ZSCAN30,0.00205362497423027,0.0020917817190228907,0.0008725747872111523,0.0027508716716544007
