Prot_1,Prot_2
RBL1,C3ORF62
RBL1,GOLGA2
RBL1,MAPK6
RBL1,DYRK1A
RBL1,DYRK1B
RBL1,DNPEP
RBL1,NEK6
RBL1,RBL2
RBL1,NR4A1
RBL1,FN1
RBL1,VIRMA
RBL1,RBBP8
RBL1,TSPAN7
RBL1,E2F3
RBL1,EP300
RBL1,NUCB1
RBL1,MRFAP1
RBL1,E2F5
RBL1,E2F4
RBL1,SNRPD3
RBL1,E2F1
RBL1,LIN9
RBL1,PHB
RBL1,TXNDC11
RBL1,ACTR3B
RBL1,CDK2
RBL1,TRIP6
RBL1,CTBP1
RBL1,NTHL1
RBL1,TFDP1
CDK18,REL
CDK18,IKZF3
GFI1B,IRF9
PMPCA,CDRT15
PMPCA,LYRM4
PMPCA,ZNF76
CDK12,JUN
ATP6V1B1,JUN
ATP6V1B2,JUN
BFSP2,SUFU
BFSP2,ATF4
HOXB13,IRF4
HOXB13,ELK1
HOXB13,POU2F1
TFG,GBP2
TFG,GBP7
NCL,JUN
NCL,RELA
CTNNBIP1,REL
